"","Year","(semi-) final","Edition","JuryOrTelevoting","FromCountry","ToCountry","Points","ToSameAsFrom","FinalOrSemiFinal"
"50",1975,"f","1975f","J","France","Portugal",2,"no","Final"
"51",1975,"f","1975f","J","France","Spain",0,"no","Final"
"52",1975,"f","1975f","J","France","Sweden",7,"no","Final"
"53",1975,"f","1975f","J","France","Switzerland",10,"no","Final"
"54",1975,"f","1975f","J","France","The Netherlands",5,"no","Final"
"55",1975,"f","1975f","J","France","Turkey",0,"no","Final"
"56",1975,"f","1975f","J","France","United Kingdom",12,"no","Final"
"57",1975,"f","1975f","J","France","Yugoslavia",0,"no","Final"
"58",1975,"f","1975f","J","Germany","Belgium",7,"no","Final"
"59",1975,"f","1975f","J","Germany","Finland",12,"no","Final"
"60",1975,"f","1975f","J","Germany","France",0,"no","Final"
"61",1975,"f","1975f","J","Germany","Germany",0,"yes","Final"
"62",1975,"f","1975f","J","Germany","Ireland",0,"no","Final"
"63",1975,"f","1975f","J","Germany","Israel",1,"no","Final"
"64",1975,"f","1975f","J","Germany","Italy",4,"no","Final"
"65",1975,"f","1975f","J","Germany","Luxembourg",0,"no","Final"
"66",1975,"f","1975f","J","Germany","Malta",0,"no","Final"
"67",1975,"f","1975f","J","Germany","Monaco",3,"no","Final"
"68",1975,"f","1975f","J","Germany","Norway",0,"no","Final"
"69",1975,"f","1975f","J","Germany","Portugal",0,"no","Final"
"70",1975,"f","1975f","J","Germany","Spain",5,"no","Final"
"71",1975,"f","1975f","J","Germany","Sweden",0,"no","Final"
"72",1975,"f","1975f","J","Germany","Switzerland",6,"no","Final"
"73",1975,"f","1975f","J","Germany","The Netherlands",8,"no","Final"
"74",1975,"f","1975f","J","Germany","Turkey",0,"no","Final"
"75",1975,"f","1975f","J","Germany","United Kingdom",10,"no","Final"
"76",1975,"f","1975f","J","Germany","Yugoslavia",2,"no","Final"
"77",1975,"f","1975f","J","Ireland","Belgium",0,"no","Final"
"78",1975,"f","1975f","J","Ireland","Finland",5,"no","Final"
"79",1975,"f","1975f","J","Ireland","France",12,"no","Final"
"80",1975,"f","1975f","J","Ireland","Germany",0,"no","Final"
"81",1975,"f","1975f","J","Ireland","Ireland",0,"yes","Final"
"82",1975,"f","1975f","J","Ireland","Israel",1,"no","Final"
"83",1975,"f","1975f","J","Ireland","Italy",6,"no","Final"
"84",1975,"f","1975f","J","Ireland","Luxembourg",10,"no","Final"
"85",1975,"f","1975f","J","Ireland","Malta",0,"no","Final"
"86",1975,"f","1975f","J","Ireland","Monaco",0,"no","Final"
"87",1975,"f","1975f","J","Ireland","Norway",0,"no","Final"
"88",1975,"f","1975f","J","Ireland","Portugal",0,"no","Final"
"89",1975,"f","1975f","J","Ireland","Spain",7,"no","Final"
"90",1975,"f","1975f","J","Ireland","Sweden",0,"no","Final"
"91",1975,"f","1975f","J","Ireland","Switzerland",2,"no","Final"
"92",1975,"f","1975f","J","Ireland","The Netherlands",8,"no","Final"
"93",1975,"f","1975f","J","Ireland","Turkey",0,"no","Final"
"94",1975,"f","1975f","J","Ireland","United Kingdom",3,"no","Final"
"95",1975,"f","1975f","J","Ireland","Yugoslavia",4,"no","Final"
"96",1975,"f","1975f","J","Israel","Belgium",0,"no","Final"
"97",1975,"f","1975f","J","Israel","Finland",8,"no","Final"
"98",1975,"f","1975f","J","Israel","France",7,"no","Final"
"99",1975,"f","1975f","J","Israel","Germany",0,"no","Final"
"100",1975,"f","1975f","J","Israel","Ireland",0,"no","Final"
"101",1975,"f","1975f","J","Israel","Israel",0,"yes","Final"
"102",1975,"f","1975f","J","Israel","Italy",5,"no","Final"
"103",1975,"f","1975f","J","Israel","Luxembourg",6,"no","Final"
"104",1975,"f","1975f","J","Israel","Malta",1,"no","Final"
"105",1975,"f","1975f","J","Israel","Monaco",2,"no","Final"
"106",1975,"f","1975f","J","Israel","Norway",0,"no","Final"
"107",1975,"f","1975f","J","Israel","Portugal",0,"no","Final"
"108",1975,"f","1975f","J","Israel","Spain",4,"no","Final"
"109",1975,"f","1975f","J","Israel","Sweden",3,"no","Final"
"110",1975,"f","1975f","J","Israel","Switzerland",0,"no","Final"
"111",1975,"f","1975f","J","Israel","The Netherlands",12,"no","Final"
"112",1975,"f","1975f","J","Israel","Turkey",0,"no","Final"
"113",1975,"f","1975f","J","Israel","United Kingdom",10,"no","Final"
"114",1975,"f","1975f","J","Israel","Yugoslavia",0,"no","Final"
"115",1975,"f","1975f","J","Italy","Belgium",0,"no","Final"
"116",1975,"f","1975f","J","Italy","Finland",0,"no","Final"
"117",1975,"f","1975f","J","Italy","France",8,"no","Final"
"118",1975,"f","1975f","J","Italy","Germany",0,"no","Final"
"119",1975,"f","1975f","J","Italy","Ireland",4,"no","Final"
"120",1975,"f","1975f","J","Italy","Israel",2,"no","Final"
"121",1975,"f","1975f","J","Italy","Italy",0,"yes","Final"
"122",1975,"f","1975f","J","Italy","Luxembourg",10,"no","Final"
"123",1975,"f","1975f","J","Italy","Malta",0,"no","Final"
"124",1975,"f","1975f","J","Italy","Monaco",5,"no","Final"
"125",1975,"f","1975f","J","Italy","Norway",7,"no","Final"
"126",1975,"f","1975f","J","Italy","Portugal",0,"no","Final"
"127",1975,"f","1975f","J","Italy","Spain",6,"no","Final"
"128",1975,"f","1975f","J","Italy","Sweden",0,"no","Final"
"129",1975,"f","1975f","J","Italy","Switzerland",12,"no","Final"
"130",1975,"f","1975f","J","Italy","The Netherlands",1,"no","Final"
"131",1975,"f","1975f","J","Italy","Turkey",0,"no","Final"
"132",1975,"f","1975f","J","Italy","United Kingdom",3,"no","Final"
"133",1975,"f","1975f","J","Italy","Yugoslavia",0,"no","Final"
"134",1975,"f","1975f","J","Luxembourg","Belgium",0,"no","Final"
"135",1975,"f","1975f","J","Luxembourg","Finland",6,"no","Final"
"136",1975,"f","1975f","J","Luxembourg","France",0,"no","Final"
"137",1975,"f","1975f","J","Luxembourg","Germany",8,"no","Final"
"138",1975,"f","1975f","J","Luxembourg","Ireland",0,"no","Final"
"139",1975,"f","1975f","J","Luxembourg","Israel",1,"no","Final"
"140",1975,"f","1975f","J","Luxembourg","Italy",3,"no","Final"
"141",1975,"f","1975f","J","Luxembourg","Luxembourg",0,"yes","Final"
"142",1975,"f","1975f","J","Luxembourg","Malta",5,"no","Final"
"143",1975,"f","1975f","J","Luxembourg","Monaco",4,"no","Final"
"144",1975,"f","1975f","J","Luxembourg","Norway",0,"no","Final"
"145",1975,"f","1975f","J","Luxembourg","Portugal",0,"no","Final"
"146",1975,"f","1975f","J","Luxembourg","Spain",0,"no","Final"
"147",1975,"f","1975f","J","Luxembourg","Sweden",7,"no","Final"
"148",1975,"f","1975f","J","Luxembourg","Switzerland",2,"no","Final"
"149",1975,"f","1975f","J","Luxembourg","The Netherlands",10,"no","Final"
"150",1975,"f","1975f","J","Luxembourg","Turkey",0,"no","Final"
"151",1975,"f","1975f","J","Luxembourg","United Kingdom",12,"no","Final"
"152",1975,"f","1975f","J","Luxembourg","Yugoslavia",0,"no","Final"
"153",1975,"f","1975f","J","Malta","Belgium",0,"no","Final"
"154",1975,"f","1975f","J","Malta","Finland",0,"no","Final"
"155",1975,"f","1975f","J","Malta","France",7,"no","Final"
"156",1975,"f","1975f","J","Malta","Germany",3,"no","Final"
"157",1975,"f","1975f","J","Malta","Ireland",4,"no","Final"
"158",1975,"f","1975f","J","Malta","Israel",0,"no","Final"
"159",1975,"f","1975f","J","Malta","Italy",10,"no","Final"
"160",1975,"f","1975f","J","Malta","Luxembourg",5,"no","Final"
"161",1975,"f","1975f","J","Malta","Malta",0,"yes","Final"
"162",1975,"f","1975f","J","Malta","Monaco",1,"no","Final"
"163",1975,"f","1975f","J","Malta","Norway",0,"no","Final"
"164",1975,"f","1975f","J","Malta","Portugal",0,"no","Final"
"165",1975,"f","1975f","J","Malta","Spain",0,"no","Final"
"166",1975,"f","1975f","J","Malta","Sweden",2,"no","Final"
"167",1975,"f","1975f","J","Malta","Switzerland",6,"no","Final"
"168",1975,"f","1975f","J","Malta","The Netherlands",12,"no","Final"
"169",1975,"f","1975f","J","Malta","Turkey",0,"no","Final"
"170",1975,"f","1975f","J","Malta","United Kingdom",8,"no","Final"
"171",1975,"f","1975f","J","Malta","Yugoslavia",0,"no","Final"
"172",1975,"f","1975f","J","Monaco","Belgium",0,"no","Final"
"173",1975,"f","1975f","J","Monaco","Finland",8,"no","Final"
"174",1975,"f","1975f","J","Monaco","France",7,"no","Final"
"175",1975,"f","1975f","J","Monaco","Germany",0,"no","Final"
"176",1975,"f","1975f","J","Monaco","Ireland",0,"no","Final"
"177",1975,"f","1975f","J","Monaco","Israel",0,"no","Final"
"178",1975,"f","1975f","J","Monaco","Italy",1,"no","Final"
"179",1975,"f","1975f","J","Monaco","Luxembourg",0,"no","Final"
"180",1975,"f","1975f","J","Monaco","Malta",0,"no","Final"
"181",1975,"f","1975f","J","Monaco","Monaco",0,"yes","Final"
"182",1975,"f","1975f","J","Monaco","Norway",2,"no","Final"
"183",1975,"f","1975f","J","Monaco","Portugal",0,"no","Final"
"184",1975,"f","1975f","J","Monaco","Spain",4,"no","Final"
"185",1975,"f","1975f","J","Monaco","Sweden",6,"no","Final"
"186",1975,"f","1975f","J","Monaco","Switzerland",5,"no","Final"
"187",1975,"f","1975f","J","Monaco","The Netherlands",10,"no","Final"
"188",1975,"f","1975f","J","Monaco","Turkey",3,"no","Final"
"189",1975,"f","1975f","J","Monaco","United Kingdom",12,"no","Final"
"190",1975,"f","1975f","J","Monaco","Yugoslavia",0,"no","Final"
"191",1975,"f","1975f","J","Norway","Belgium",0,"no","Final"
"192",1975,"f","1975f","J","Norway","Finland",10,"no","Final"
"193",1975,"f","1975f","J","Norway","France",0,"no","Final"
"194",1975,"f","1975f","J","Norway","Germany",0,"no","Final"
"195",1975,"f","1975f","J","Norway","Ireland",4,"no","Final"
"196",1975,"f","1975f","J","Norway","Israel",5,"no","Final"
"197",1975,"f","1975f","J","Norway","Italy",6,"no","Final"
"198",1975,"f","1975f","J","Norway","Luxembourg",0,"no","Final"
"199",1975,"f","1975f","J","Norway","Malta",2,"no","Final"
"200",1975,"f","1975f","J","Norway","Monaco",0,"no","Final"
"201",1975,"f","1975f","J","Norway","Norway",0,"yes","Final"
"202",1975,"f","1975f","J","Norway","Portugal",0,"no","Final"
"203",1975,"f","1975f","J","Norway","Spain",3,"no","Final"
"204",1975,"f","1975f","J","Norway","Sweden",8,"no","Final"
"205",1975,"f","1975f","J","Norway","Switzerland",1,"no","Final"
"206",1975,"f","1975f","J","Norway","The Netherlands",12,"no","Final"
"207",1975,"f","1975f","J","Norway","Turkey",0,"no","Final"
"208",1975,"f","1975f","J","Norway","United Kingdom",7,"no","Final"
"209",1975,"f","1975f","J","Norway","Yugoslavia",0,"no","Final"
"210",1975,"f","1975f","J","Portugal","Belgium",0,"no","Final"
"211",1975,"f","1975f","J","Portugal","Finland",0,"no","Final"
"212",1975,"f","1975f","J","Portugal","France",12,"no","Final"
"213",1975,"f","1975f","J","Portugal","Germany",0,"no","Final"
"214",1975,"f","1975f","J","Portugal","Ireland",4,"no","Final"
"215",1975,"f","1975f","J","Portugal","Israel",0,"no","Final"
"216",1975,"f","1975f","J","Portugal","Italy",10,"no","Final"
"217",1975,"f","1975f","J","Portugal","Luxembourg",8,"no","Final"
"218",1975,"f","1975f","J","Portugal","Malta",0,"no","Final"
"219",1975,"f","1975f","J","Portugal","Monaco",3,"no","Final"
"220",1975,"f","1975f","J","Portugal","Norway",0,"no","Final"
"221",1975,"f","1975f","J","Portugal","Portugal",0,"yes","Final"
"222",1975,"f","1975f","J","Portugal","Spain",0,"no","Final"
"223",1975,"f","1975f","J","Portugal","Sweden",6,"no","Final"
"224",1975,"f","1975f","J","Portugal","Switzerland",2,"no","Final"
"225",1975,"f","1975f","J","Portugal","The Netherlands",7,"no","Final"
"226",1975,"f","1975f","J","Portugal","Turkey",0,"no","Final"
"227",1975,"f","1975f","J","Portugal","United Kingdom",5,"no","Final"
"228",1975,"f","1975f","J","Portugal","Yugoslavia",1,"no","Final"
"229",1975,"f","1975f","J","Spain","Belgium",0,"no","Final"
"230",1975,"f","1975f","J","Spain","Finland",1,"no","Final"
"231",1975,"f","1975f","J","Spain","France",8,"no","Final"
"232",1975,"f","1975f","J","Spain","Germany",4,"no","Final"
"233",1975,"f","1975f","J","Spain","Ireland",3,"no","Final"
"234",1975,"f","1975f","J","Spain","Israel",0,"no","Final"
"235",1975,"f","1975f","J","Spain","Italy",7,"no","Final"
"236",1975,"f","1975f","J","Spain","Luxembourg",6,"no","Final"
"237",1975,"f","1975f","J","Spain","Malta",0,"no","Final"
"238",1975,"f","1975f","J","Spain","Monaco",0,"no","Final"
"239",1975,"f","1975f","J","Spain","Norway",0,"no","Final"
"240",1975,"f","1975f","J","Spain","Portugal",2,"no","Final"
"241",1975,"f","1975f","J","Spain","Spain",0,"yes","Final"
"242",1975,"f","1975f","J","Spain","Sweden",5,"no","Final"
"243",1975,"f","1975f","J","Spain","Switzerland",0,"no","Final"
"244",1975,"f","1975f","J","Spain","The Netherlands",12,"no","Final"
"245",1975,"f","1975f","J","Spain","Turkey",0,"no","Final"
"246",1975,"f","1975f","J","Spain","United Kingdom",10,"no","Final"
"247",1975,"f","1975f","J","Spain","Yugoslavia",0,"no","Final"
"248",1975,"f","1975f","J","Sweden","Belgium",2,"no","Final"
"249",1975,"f","1975f","J","Sweden","Finland",3,"no","Final"
"250",1975,"f","1975f","J","Sweden","France",8,"no","Final"
"251",1975,"f","1975f","J","Sweden","Germany",0,"no","Final"
"252",1975,"f","1975f","J","Sweden","Ireland",10,"no","Final"
"253",1975,"f","1975f","J","Sweden","Israel",6,"no","Final"
"254",1975,"f","1975f","J","Sweden","Italy",1,"no","Final"
"255",1975,"f","1975f","J","Sweden","Luxembourg",4,"no","Final"
"256",1975,"f","1975f","J","Sweden","Malta",0,"no","Final"
"257",1975,"f","1975f","J","Sweden","Monaco",0,"no","Final"
"258",1975,"f","1975f","J","Sweden","Norway",0,"no","Final"
"259",1975,"f","1975f","J","Sweden","Portugal",0,"no","Final"
"260",1975,"f","1975f","J","Sweden","Spain",0,"no","Final"
"261",1975,"f","1975f","J","Sweden","Sweden",0,"yes","Final"
"262",1975,"f","1975f","J","Sweden","Switzerland",0,"no","Final"
"263",1975,"f","1975f","J","Sweden","The Netherlands",12,"no","Final"
"264",1975,"f","1975f","J","Sweden","Turkey",0,"no","Final"
"265",1975,"f","1975f","J","Sweden","United Kingdom",5,"no","Final"
"266",1975,"f","1975f","J","Sweden","Yugoslavia",7,"no","Final"
"267",1975,"f","1975f","J","Switzerland","Belgium",0,"no","Final"
"268",1975,"f","1975f","J","Switzerland","Finland",12,"no","Final"
"269",1975,"f","1975f","J","Switzerland","France",3,"no","Final"
"270",1975,"f","1975f","J","Switzerland","Germany",0,"no","Final"
"271",1975,"f","1975f","J","Switzerland","Ireland",7,"no","Final"
"272",1975,"f","1975f","J","Switzerland","Israel",2,"no","Final"
"273",1975,"f","1975f","J","Switzerland","Italy",10,"no","Final"
"274",1975,"f","1975f","J","Switzerland","Luxembourg",0,"no","Final"
"275",1975,"f","1975f","J","Switzerland","Malta",4,"no","Final"
"276",1975,"f","1975f","J","Switzerland","Monaco",0,"no","Final"
"277",1975,"f","1975f","J","Switzerland","Norway",0,"no","Final"
"278",1975,"f","1975f","J","Switzerland","Portugal",0,"no","Final"
"279",1975,"f","1975f","J","Switzerland","Spain",5,"no","Final"
"280",1975,"f","1975f","J","Switzerland","Sweden",1,"no","Final"
"281",1975,"f","1975f","J","Switzerland","Switzerland",0,"yes","Final"
"282",1975,"f","1975f","J","Switzerland","The Netherlands",6,"no","Final"
"283",1975,"f","1975f","J","Switzerland","Turkey",0,"no","Final"
"284",1975,"f","1975f","J","Switzerland","United Kingdom",8,"no","Final"
"285",1975,"f","1975f","J","Switzerland","Yugoslavia",0,"no","Final"
"286",1975,"f","1975f","J","The Netherlands","Belgium",5,"no","Final"
"287",1975,"f","1975f","J","The Netherlands","Finland",0,"no","Final"
"288",1975,"f","1975f","J","The Netherlands","France",8,"no","Final"
"289",1975,"f","1975f","J","The Netherlands","Germany",0,"no","Final"
"290",1975,"f","1975f","J","The Netherlands","Ireland",6,"no","Final"
"291",1975,"f","1975f","J","The Netherlands","Israel",10,"no","Final"
"292",1975,"f","1975f","J","The Netherlands","Italy",0,"no","Final"
"293",1975,"f","1975f","J","The Netherlands","Luxembourg",12,"no","Final"
"294",1975,"f","1975f","J","The Netherlands","Malta",1,"no","Final"
"295",1975,"f","1975f","J","The Netherlands","Monaco",0,"no","Final"
"296",1975,"f","1975f","J","The Netherlands","Norway",2,"no","Final"
"297",1975,"f","1975f","J","The Netherlands","Portugal",0,"no","Final"
"298",1975,"f","1975f","J","The Netherlands","Spain",0,"no","Final"
"299",1975,"f","1975f","J","The Netherlands","Sweden",0,"no","Final"
"300",1975,"f","1975f","J","The Netherlands","Switzerland",7,"no","Final"
"301",1975,"f","1975f","J","The Netherlands","The Netherlands",0,"yes","Final"
"302",1975,"f","1975f","J","The Netherlands","Turkey",0,"no","Final"
"303",1975,"f","1975f","J","The Netherlands","United Kingdom",4,"no","Final"
"304",1975,"f","1975f","J","The Netherlands","Yugoslavia",3,"no","Final"
"305",1975,"f","1975f","J","Turkey","Belgium",0,"no","Final"
"306",1975,"f","1975f","J","Turkey","Finland",0,"no","Final"
"307",1975,"f","1975f","J","Turkey","France",1,"no","Final"
"308",1975,"f","1975f","J","Turkey","Germany",0,"no","Final"
"309",1975,"f","1975f","J","Turkey","Ireland",0,"no","Final"
"310",1975,"f","1975f","J","Turkey","Israel",6,"no","Final"
"311",1975,"f","1975f","J","Turkey","Italy",10,"no","Final"
"312",1975,"f","1975f","J","Turkey","Luxembourg",5,"no","Final"
"313",1975,"f","1975f","J","Turkey","Malta",2,"no","Final"
"314",1975,"f","1975f","J","Turkey","Monaco",0,"no","Final"
"315",1975,"f","1975f","J","Turkey","Norway",0,"no","Final"
"316",1975,"f","1975f","J","Turkey","Portugal",12,"no","Final"
"317",1975,"f","1975f","J","Turkey","Spain",3,"no","Final"
"318",1975,"f","1975f","J","Turkey","Sweden",8,"no","Final"
"319",1975,"f","1975f","J","Turkey","Switzerland",7,"no","Final"
"320",1975,"f","1975f","J","Turkey","The Netherlands",4,"no","Final"
"321",1975,"f","1975f","J","Turkey","Turkey",0,"yes","Final"
"322",1975,"f","1975f","J","Turkey","United Kingdom",0,"no","Final"
"323",1975,"f","1975f","J","Turkey","Yugoslavia",0,"no","Final"
"324",1975,"f","1975f","J","United Kingdom","Belgium",0,"no","Final"
"325",1975,"f","1975f","J","United Kingdom","Finland",4,"no","Final"
"326",1975,"f","1975f","J","United Kingdom","France",8,"no","Final"
"327",1975,"f","1975f","J","United Kingdom","Germany",0,"no","Final"
"328",1975,"f","1975f","J","United Kingdom","Ireland",6,"no","Final"
"329",1975,"f","1975f","J","United Kingdom","Israel",1,"no","Final"
"330",1975,"f","1975f","J","United Kingdom","Italy",10,"no","Final"
"331",1975,"f","1975f","J","United Kingdom","Luxembourg",3,"no","Final"
"332",1975,"f","1975f","J","United Kingdom","Malta",0,"no","Final"
"333",1975,"f","1975f","J","United Kingdom","Monaco",2,"no","Final"
"334",1975,"f","1975f","J","United Kingdom","Norway",0,"no","Final"
"335",1975,"f","1975f","J","United Kingdom","Portugal",0,"no","Final"
"336",1975,"f","1975f","J","United Kingdom","Spain",0,"no","Final"
"337",1975,"f","1975f","J","United Kingdom","Sweden",7,"no","Final"
"338",1975,"f","1975f","J","United Kingdom","Switzerland",5,"no","Final"
"339",1975,"f","1975f","J","United Kingdom","The Netherlands",12,"no","Final"
"340",1975,"f","1975f","J","United Kingdom","Turkey",0,"no","Final"
"341",1975,"f","1975f","J","United Kingdom","United Kingdom",0,"yes","Final"
"342",1975,"f","1975f","J","United Kingdom","Yugoslavia",0,"no","Final"
"343",1975,"f","1975f","J","Yugoslavia","Belgium",3,"no","Final"
"344",1975,"f","1975f","J","Yugoslavia","Finland",5,"no","Final"
"345",1975,"f","1975f","J","Yugoslavia","France",0,"no","Final"
"346",1975,"f","1975f","J","Yugoslavia","Germany",0,"no","Final"
"347",1975,"f","1975f","J","Yugoslavia","Ireland",1,"no","Final"
"348",1975,"f","1975f","J","Yugoslavia","Israel",0,"no","Final"
"349",1975,"f","1975f","J","Yugoslavia","Italy",10,"no","Final"
"350",1975,"f","1975f","J","Yugoslavia","Luxembourg",7,"no","Final"
"351",1975,"f","1975f","J","Yugoslavia","Malta",2,"no","Final"
"352",1975,"f","1975f","J","Yugoslavia","Monaco",0,"no","Final"
"353",1975,"f","1975f","J","Yugoslavia","Norway",0,"no","Final"
"354",1975,"f","1975f","J","Yugoslavia","Portugal",0,"no","Final"
"355",1975,"f","1975f","J","Yugoslavia","Spain",4,"no","Final"
"356",1975,"f","1975f","J","Yugoslavia","Sweden",6,"no","Final"
"357",1975,"f","1975f","J","Yugoslavia","Switzerland",0,"no","Final"
"358",1975,"f","1975f","J","Yugoslavia","The Netherlands",8,"no","Final"
"359",1975,"f","1975f","J","Yugoslavia","Turkey",0,"no","Final"
"360",1975,"f","1975f","J","Yugoslavia","United Kingdom",12,"no","Final"
"361",1975,"f","1975f","J","Yugoslavia","Yugoslavia",0,"yes","Final"
"362",1976,"f","1976f","J","Austria","Austria",0,"yes","Final"
"363",1976,"f","1976f","J","Austria","Belgium",3,"no","Final"
"364",1976,"f","1976f","J","Austria","Finland",7,"no","Final"
"365",1976,"f","1976f","J","Austria","France",12,"no","Final"
"366",1976,"f","1976f","J","Austria","Germany",0,"no","Final"
"367",1976,"f","1976f","J","Austria","Greece",0,"no","Final"
"368",1976,"f","1976f","J","Austria","Ireland",2,"no","Final"
"369",1976,"f","1976f","J","Austria","Israel",6,"no","Final"
"370",1976,"f","1976f","J","Austria","Italy",1,"no","Final"
"371",1976,"f","1976f","J","Austria","Luxembourg",0,"no","Final"
"372",1976,"f","1976f","J","Austria","Monaco",5,"no","Final"
"373",1976,"f","1976f","J","Austria","Norway",0,"no","Final"
"374",1976,"f","1976f","J","Austria","Portugal",0,"no","Final"
"375",1976,"f","1976f","J","Austria","Spain",0,"no","Final"
"376",1976,"f","1976f","J","Austria","Switzerland",8,"no","Final"
"377",1976,"f","1976f","J","Austria","The Netherlands",4,"no","Final"
"378",1976,"f","1976f","J","Austria","United Kingdom",10,"no","Final"
"379",1976,"f","1976f","J","Austria","Yugoslavia",0,"no","Final"
"380",1976,"f","1976f","J","Belgium","Austria",3,"no","Final"
"381",1976,"f","1976f","J","Belgium","Belgium",0,"yes","Final"
"382",1976,"f","1976f","J","Belgium","Finland",0,"no","Final"
"383",1976,"f","1976f","J","Belgium","France",10,"no","Final"
"384",1976,"f","1976f","J","Belgium","Germany",1,"no","Final"
"385",1976,"f","1976f","J","Belgium","Greece",2,"no","Final"
"386",1976,"f","1976f","J","Belgium","Ireland",0,"no","Final"
"387",1976,"f","1976f","J","Belgium","Israel",5,"no","Final"
"388",1976,"f","1976f","J","Belgium","Italy",0,"no","Final"
"389",1976,"f","1976f","J","Belgium","Luxembourg",6,"no","Final"
"390",1976,"f","1976f","J","Belgium","Monaco",8,"no","Final"
"391",1976,"f","1976f","J","Belgium","Norway",0,"no","Final"
"392",1976,"f","1976f","J","Belgium","Portugal",0,"no","Final"
"393",1976,"f","1976f","J","Belgium","Spain",0,"no","Final"
"394",1976,"f","1976f","J","Belgium","Switzerland",7,"no","Final"
"395",1976,"f","1976f","J","Belgium","The Netherlands",4,"no","Final"
"396",1976,"f","1976f","J","Belgium","United Kingdom",12,"no","Final"
"397",1976,"f","1976f","J","Belgium","Yugoslavia",0,"no","Final"
"398",1976,"f","1976f","J","Finland","Austria",5,"no","Final"
"399",1976,"f","1976f","J","Finland","Belgium",12,"no","Final"
"400",1976,"f","1976f","J","Finland","Finland",0,"yes","Final"
"401",1976,"f","1976f","J","Finland","France",3,"no","Final"
"402",1976,"f","1976f","J","Finland","Germany",0,"no","Final"
"403",1976,"f","1976f","J","Finland","Greece",4,"no","Final"
"404",1976,"f","1976f","J","Finland","Ireland",0,"no","Final"
"405",1976,"f","1976f","J","Finland","Israel",8,"no","Final"
"406",1976,"f","1976f","J","Finland","Italy",6,"no","Final"
"407",1976,"f","1976f","J","Finland","Luxembourg",0,"no","Final"
"408",1976,"f","1976f","J","Finland","Monaco",2,"no","Final"
