"","Country","Year","Place","Points","AverageOdds","BET.FRED","BET365","BETFAIR.EXCHANGE","BETFAIR.SPORT","BETWAY","BOYLE.SPORTS","BWIN","CORAL","SKY.BET","UNIBET"
"27","Israel",2018,1,529,3.365,3.25,3.25,3.75,3.25,3.5,3.5,3.4,3.25,3.25,3.25
"28","Cyprus",2018,2,436,2.205,2.38,2,2.32,2.25,2.25,2.2,2,2.2,2.2,2.25
"29","Austria",2018,3,342,160.4,101,301,250,101,151,251,101,151,126,71
"30","Germany",2018,4,340,7.29,8,7.5,8.4,7,6.5,6.5,7.5,6.5,7,8
"31","Italy",2018,5,308,69.5,51,101,140,81,51,41,67,51,41,71
"32","Czech Republic",2018,6,281,76.3,101,101,110,67,51,81,67,67,67,51
"33","Sweden",2018,7,274,38.2,34,41,48,34,34,41,51,34,29,36
"34","Estonia",2018,8,245,28.5,26,34,38,21,34,26,26,26,21,33
"35","Denmark",2018,9,226,119.1,67,201,200,126,101,151,101,126,67,51
"36","Moldova",2018,10,209,86.1,67,101,140,101,81,101,101,67,51,51
"37","Albania",2018,11,184,322.9,101,501,770,301,251,501,301,201,151,151
"38","Lithuania",2018,12,181,43.5,41,51,70,41,41,41,34,34,41,41
"39","France",2018,13,173,59.6,67,101,65,67,41,51,51,51,51,51
"40","Bulgaria",2018,14,166,113.8,67,201,230,67,101,151,67,101,67,86
"41","Norway",2018,15,144,62.1,67,81,100,41,51,81,67,51,41,41
"42","Ireland",2018,16,136,15.6,15,17,19,15,15,13,17,12,15,18
"43","Ukraine",2018,17,130,281.4,101,401,830,101,251,501,201,201,126,101
"44","Netherlands",2018,18,121,139.9,101,201,190,151,101,151,201,126,101,76
"45","Serbia",2018,19,113,430.9,101,1001,1000,501,251,501,301,151,301,201
"46","Australia",2018,20,99,69.9,67,101,120,51,51,67,101,29,51,61
"47","Hungary",2018,21,93,128.9,101,176,300,101,101,151,101,101,81,76
"48","Slovenia",2018,22,64,410.9,101,1001,850,301,251,501,301,301,301,201
"49","Spain",2018,23,61,310.9,101,501,1000,151,251,501,201,151,151,101
"50","United Kingdom",2018,24,48,32.4,17,51,60,21,11,34,51,19,29,31
"51","Finland",2018,25,46,83.1,67,101,150,51,81,101,101,67,51,61
"52","Portugal",2018,26,1,340.9,101,751,650,201,251,501,301,201,251,201
"53","Bulgaria",2017,2,615,2.689,2.75,2.37,2.84,2.75,2.75,2.8,2.75,2.5,2.63,2.75
"54","Portugal",2017,1,758,2.858,3,2.62,3.05,2.87,2.75,3.1,2.9,2.75,2.63,2.91
"55","Italy",2017,6,334,7.8,8,6.5,9,9,7,8,7,7.5,8,8
"56","Belgium",2017,4,363,7.1,7,6.5,10,6.5,6,6.5,7,6.5,7,8
"57","Romania",2017,7,282,18.3,13,19,23,15,17,17,26,17,17,19
"58","Sweden",2017,5,344,23.8,21,26,36,17,26,17,26,17,26,26
"59","Croatia",2017,13,128,41,26,51,75,26,41,29,51,34,51,26
"60","United Kingdom",2017,15,111,53.4,21,67,95,51,67,51,51,29,51,51
"61","Moldova",2017,3,374,49.9,21,67,100,26,51,34,67,41,51,41
"62","France",2017,12,135,136.5,51,151,340,101,101,101,51,201,201,67
"63","Armenia",2017,18,79,155.5,101,201,500,101,101,101,67,101,201,81
"64","Norway",2017,10,158,128.5,101,101,310,101,101,101,101,151,151,67
"65","Netherlands",2017,11,150,156.5,101,301,350,151,101,101,67,201,151,41
"66","Australia",2017,9,173,206.9,101,301,710,201,101,101,101,151,201,101
"67","Azerbaijan",2017,14,120,215.9,101,251,500,201,151,251,101,201,251,151
"68","Denmark",2017,20,77,225.9,101,301,670,201,151,201,101,251,201,81
"69","Hungary",2017,8,200,248,101,401,800,201,126,201,67,201,301,81
"70","Germany",2017,25,6,223.9,101,501,430,201,151,101,101,151,201,301
"71","Poland",2017,22,64,269.9,101,401,640,301,251,201,101,201,201,301
"72","Austria",2017,16,93,280.9,101,501,650,251,201,201,101,301,201,301
"73","Greece",2017,19,77,265.9,101,501,600,251,251,201,101,251,251,151
"74","Belarus",2017,17,83,310.9,101,501,1000,251,201,251,101,201,201,301
"75","Cyprus",2017,21,68,308.9,101,601,730,151,201,101,201,301,201,501
"76","Ukraine",2017,24,36,375.9,101,751,700,301,201,501,101,301,301,501
"77","Israel",2017,23,39,395.9,101,1001,1000,251,251,351,101,401,301,201
"78","Spain",2017,26,5,470.9,101,1001,1000,501,301,501,301,251,251,501
"79","Russia",2016,3,491,1.76,2,1.9,2.04,1.4,2.1,1.4,2,1.57,1.44,1.75
"80","Australia",2016,2,511,3.674,2.88,2.75,2.79,6,2.62,4.5,2.8,4.5,5,2.9
"81","Ukraine",2016,1,534,14.2,15,10,19,17,9,19,15,13,10,15
"82","Sweden",2016,5,261,23.6,26,17,40,21,17,23,21,34,19,18
"83","France",2016,6,257,26.5,26,17,32,34,15,51,19,34,21,16
"84","Armenia",2016,7,249,44,41,34,71,51,41,67,34,41,29,31
"85","Malta",2016,12,153,41.1,34,29,52,41,26,67,34,51,41,36
"86","United Kingdom",2016,24,62,70,34,51,143,41,41,101,101,26,81,81
"87","Bulgaria",2016,4,307,90.6,101,81,238,26,126,67,101,51,34,81
"88","Spain",2016,22,77,101.1,101,151,342,17,101,21,101,9,17,151
"89","Netherlands",2016,11,153,97.3,67,51,133,81,51,201,51,151,151,36
"90","Austria",2016,13,151,103.2,81,81,190,151,67,126,51,151,67,67
"91","Latvia",2016,15,132,109.7,101,67,124,151,67,201,67,101,151,67
"92","Belgium",2016,10,181,118.1,101,67,190,101,51,201,67,201,151,51
"93","Italy",2016,16,124,128.1,101,67,190,151,51,201,67,251,151,51
"94","Cyprus",2016,21,96,135.1,101,151,285,67,151,126,101,151,67,151
"95","Israel",2016,14,135,141.2,101,81,352,126,67,201,101,151,151,81
"96","Poland",2016,8,229,164.9,101,126,390,101,101,201,101,201,201,126
"97","Lithuania",2016,9,200,194.2,101,151,703,151,151,201,101,81,151,151
"98","Serbia",2016,18,115,221.9,101,101,428,501,67,201,67,501,151,101
"99","Azerbaijan",2016,17,117,247.4,101,201,665,501,101,251,101,251,201,101
"100","Hungary",2016,19,108,325.9,101,201,950,501,151,301,101,501,301,151
"101","Croatia",2016,23,73,315.7,101,201,798,501,201,251,101,501,301,201
"102","Georgia",2016,20,104,310.9,101,251,950,251,201,301,301,301,201,251
"103","Czech Republic",2016,25,41,335.9,101,201,950,501,201,301,101,501,301,201
"104","Germany",2016,26,11,266.3,101,251,504,501,201,251,101,201,251,301
"105","Sweden",2015,1,365,1.995,2,2.1,2.2,2.1,2.1,2.25,1,2.1,2.1,2
"106","Russia",2015,2,303,4.249,4.5,3.75,4.99,4,4,3.75,4.75,4.5,3.75,4.5
"107","Italy",2015,3,292,5.551,6.5,5,6.51,6,4.5,5,5,5.5,5.5,6
"108","Belgium",2015,4,217,11.6,13,11,18,8,8,12,15,9,10,12
"109","Australia",2015,5,196,12,13,11,17,11,11,11,13,10,11,12
"110","Estonia",2015,7,106,22.5,26,19,27,17,26,23,21,21,21,24
"111","Serbia",2015,10,53,32.9,41,34,52,26,34,26,26,26,34,30
"112","Norway",2015,8,102,36.8,51,34,62,41,34,34,0,41,41,30
"113","Latvia",2015,6,186,52,67,41,143,51,34,41,0,51,41,51
"114","Israel",2015,9,97,62.1,67,67,133,29,51,81,34,41,67,51
"115","Azerbaijan",2015,12,49,60.1,67,67,105,67,51,41,51,67,51,34
"116","Spain",2015,21,15,76.1,67,81,181,81,67,51,51,67,81,34
"117","Slovenia",2015,14,39,82.9,67,81,200,81,67,67,67,81,67,51
"118","Georgia",2015,11,51,106.6,101,101,285,81,81,67,67,101,101,81
"119","United Kingdom",2015,24,5,123.3,101,151,304,81,101,126,101,41,126,101
"120","Greece",2015,19,23,166.7,101,151,703,101,101,101,101,126,101,81
"121","Romania",2015,15,35,184.8,101,151,789,101,126,101,101,151,101,126
"122","Armenia",2015,16,34,138.7,101,151,228,101,126,176,101,151,151,101
"123","Albania",2015,17,34,198.4,101,151,950,101,101,126,101,101,151,101
"124","Hungary",2015,20,19,174.8,101,151,589,101,126,126,201,126,126,101
"125","Cyprus",2015,22,11,179.7,101,151,713,126,101,101,101,151,126,126
"126","France",2015,25,4,195.3,101,151,694,101,126,176,201,151,126,126
"127","Lithuania",2015,18,30,223.4,101,201,950,101,126,151,101,201,151,151
"128","Poland",2015,23,10,248.7,101,251,903,126,151,151,101,251,201,251
"129","Austria",2015,26,0,240.9,101,251,950,101,151,151,101,251,151,201
"130","Montenegro",2015,13,44,238.4,101,201,950,126,151,151,101,251,251,101
"131","Germany",2015,27,0,245.8,101,251,950,151,151,201,0,251,201,201
